ID;Operation Type;Operation Date;Result;Valid;ECU ID;ECU;VIN;VAN;PIC;Archetype ID;tipo;Station Zone;Station;Plant;err_description;error_code;ecu_data_package_version;error_code;AN;VP;VCB;PAIS;GAMMA;CABINA;POWER;AXLES;TIPO AXLE;VERSION;TIPO VERSION;WHEELBASE;SUSPENSION;TIPO SUSPENSION;HANDRIVE;GEARBOX;MT;040 TWIN;RT;BRAKES;FDP;0;1;2;3;5;6;OK
12773946;ECU_COMPONENT_TEST;12/05/2020 15:28;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZLC430459;V11740884;CA4AA3D1000389;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;6;;;;11740884;CA4AA3D1000389;CA4AA3D1;POLAND;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;1;
12773966;ECU_COMPONENT_TEST;12/05/2020 15:34;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZLC430459;V11740884;CA4AA3D1000389;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;1;;;;11740884;CA4AA3D1000389;CA4AA3D1;POLAND;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;1;;;;;
12774014;ECU_COMPONENT_TEST;12/05/2020 15:35;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZLC430459;V11740884;CA4AA3D1000389;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;0;;;;11740884;CA4AA3D1000389;CA4AA3D1;POLAND;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;1;;;;;;
12774024;ECU_COMPONENT_TEST;12/05/2020 15:37;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZLC430459;V11740884;CA4AA3D1000389;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;0;;;;11740884;CA4AA3D1000389;CA4AA3D1;POLAND;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;1;;;;;;
12774381;ECU_COMPONENT_TEST;12/05/2020 16:04;NOK (20);1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RSX0C430893;V11761241;QK5E17B1000020;5802109393;EVO DIESEL;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;1;;;;11761241;QK5E17B1000020;QK5E17B1;ROMANIA;Q;AD-EV;420 C11;6X2P;2;CABINAT;3;4500;P;1;SX;16S 2220 TD;26;STER;SR;DIS-DIS;B36Y;;1;;;;;
12774414;ECU_COMPONENT_TEST;12/05/2020 16:06;OK;1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RSX0C430893;V11761241;QK5E17B1000020;5802109393;EVO DIESEL;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;7;;;;11761241;QK5E17B1000020;QK5E17B1;ROMANIA;Q;AD-EV;420 C11;6X2P;2;CABINAT;3;4500;P;1;SX;16S 2220 TD;26;STER;SR;DIS-DIS;B36Y;;;;;;;1
12774415;ECU_COMPONENT_TEST;12/05/2020 16:03;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430704;V11750750;CA4AA3D1000452;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;11750750;CA4AA3D1000452;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
12775319;ECU_COMPONENT_TEST;12/05/2020 17:01;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430571;V11735027;CA4AA3D1000310;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;7;;;;11735027;CA4AA3D1000310;CA4AA3D1;ITALY;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
12775700;ECU_COMPONENT_TEST;12/05/2020 16:47;OK;1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RR00C429460;V11734678;GB4E14B1000003;5802297246;EVO X-WAY;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;11734678;GB4E14B1000003;GB4E14B1;ITALY;G;AD-EV;400 C9;6X2P;2;CABINAT;3;4200;P;1;SX;16S 1620 TD;26;STER;SR;DIS-DIS;D26Y;;;;;;;1
12776372;ECU_COMPONENT_TEST;12/05/2020 18:28;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430569;V11735023;CA4AA3D1000310;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3051;Madrid;7;;;;11735023;CA4AA3D1000310;CA4AA3D1;ITALY;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
12776541;ECU_COMPONENT_TEST;12/05/2020 18:33;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430801;V11733712;AA8BA4D1000112;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;0;;;;11733712;AA8BA4D1000112;AA8BA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;FP;2;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;1;;;;;;
12776544;ECU_COMPONENT_TEST;12/05/2020 18:40;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430801;V11733712;AA8BA4D1000112;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;1;;;;11733712;AA8BA4D1000112;AA8BA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;FP;2;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;1;;;;;
12776599;ECU_COMPONENT_TEST;12/05/2020 18:42;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430801;V11733712;AA8BA4D1000112;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;11733712;AA8BA4D1000112;AA8BA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;FP;2;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12776667;ECU_COMPONENT_TEST;12/05/2020 18:29;NOK (20);1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RU60C431024;V11762359;GC7E14B1000038;5802297246;EVO X-WAY;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;1;;;;11762359;GC7E14B1000038;GC7E14B1;ITALY;G;AD-EV;480 C11;6X2P;2;CABINAT;3;4200;P;1;SX;16M;26;STER;SR;DIS-DIS;D36Y;;1;;;;;
12776671;ECU_COMPONENT_TEST;12/05/2020 18:53;NOK (20);1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RU60C431024;V11762359;GC7E14B1000038;5802297246;EVO X-WAY;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;1;;;;11762359;GC7E14B1000038;GC7E14B1;ITALY;G;AD-EV;480 C11;6X2P;2;CABINAT;3;4200;P;1;SX;16M;26;STER;SR;DIS-DIS;D36Y;;1;;;;;
12776676;ECU_COMPONENT_TEST;12/05/2020 18:54;NOK (20);1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RU60C431024;V11762359;GC7E14B1000038;5802297246;EVO X-WAY;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;1;;;;11762359;GC7E14B1000038;GC7E14B1;ITALY;G;AD-EV;480 C11;6X2P;2;CABINAT;3;4200;P;1;SX;16M;26;STER;SR;DIS-DIS;D36Y;;1;;;;;
12776738;ECU_COMPONENT_TEST;12/05/2020 18:55;OK;1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RU60C431024;V11762359;GC7E14B1000038;5802297246;EVO X-WAY;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;7;;;;11762359;GC7E14B1000038;GC7E14B1;ITALY;G;AD-EV;480 C11;6X2P;2;CABINAT;3;4200;P;1;SX;16M;26;STER;SR;DIS-DIS;D36Y;;;;;;;1
12777011;ECU_COMPONENT_TEST;12/05/2020 19:31;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C430783;V04353809;AA8AA4D1PA0014;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3031;Madrid;7;;;;4353809;AA8AA4D1PA0014;AA8AA4D1;PORTUGAL;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12777053;ECU_COMPONENT_TEST;12/05/2020 19:37;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C429017;V11734194;AA8AA4D1000500;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;7;;;;11734194;AA8AA4D1000500;AA8AA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12777082;ECU_COMPONENT_TEST;12/05/2020 19:44;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C429017;V11734194;AA8AA4D1000500;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;1;;;;11734194;AA8AA4D1000500;AA8AA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;1;;;;;
12777153;ECU_COMPONENT_TEST;12/05/2020 19:48;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C429017;V11734194;AA8AA4D1000500;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;7;;;;11734194;AA8AA4D1000500;AA8AA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
12777161;ECU_COMPONENT_TEST;12/05/2020 19:54;NOK (10);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMM62AVZ0C429017;V11734194;AA8AA4D1000500;5802713010;S-WAY DIESEL;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;7;;;;11734194;AA8AA4D1000500;AA8AA4D1;ITALY;A;AS-SX;510 C13;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2420 TD;18-20T;NO ADD;SR;DIS-DIS;AF4T;;;;;;;1
