Promedio de LONGITUD
-3,70620
-3,68010
-3,69820
-3,69110
-3,71820
-3,68980
-3,69450
-3,57060
-3,59010
-3,57870
-3,59350
-3,59230
-3,72820
-3,75350
-3,71200
-3,72220
-3,73840
-3,72980
-3,74220
-3,69750
-3,70290
-3,69750
-3,71130
-3,70490
-3,70600
-3,68180
-3,67200
-3,68380
-3,67370
-3,67790
-3,67130
-3,69430
-3,70820
-3,71440
-3,69840
-3,70100
-3,71210
-3,66450
-3,65940
-3,64890
-3,66760
-3,63870
-3,64520
-3,65560
-3,65220
-3,65240
-3,69730
-3,77790
-3,74270
-3,69950
-3,71460
-3,72770
-3,71060
-3,68490
-3,66120
-3,64720
-3,61420
-3,64800
-3,63770
-3,63850
-3,75610
-3,77750
-3,77100
-3,77210
-3,73810
-3,74840
-3,73300
-3,78040
-3,71780
-3,73200
-3,72450
-3,82230
-3,77730
-3,71660
-3,64550
-3,62890
-3,64160
-3,65690
-3,63290
-3,64290
-3,66870
-3,66160
-3,65910
-3,63950
-3,64900
-3,66800
-3,67110
-3,66700
-3,67530
-3,68740
-3,67310
-3,67770
-3,68390
-3,66470
-3,67460
-3,66830
-3,67550
-3,68540
-3,62180
-3,61690
-3,61220
-3,61620
-3,57090
-3,60510
-3,63380
-3,62630
-3,69420
-3,70720
-3,70480
-3,69550
-3,69910
-3,70180
-3,70140
-3,70740
-3,71420
-3,69790
-3,70740
-3,69040
-3,71440
-3,60210
-3,62680
-3,61030
-3,67860
-3,69800
-3,68830
-3,68830
-3,70950
